DATE,ANNA426PBSV
1990-01-01,21.059919078145303
1990-02-01,21.0842749478516
1990-03-01,21.10988461517
1990-04-01,21.1428278559139
1990-05-01,21.1548662231427
1990-06-01,21.451279093062602
1990-07-01,20.8606486264513
1990-08-01,21.3082068814922
1990-09-01,21.788306103282
1990-10-01,20.7319204076567
1990-11-01,20.9234827577466
1990-12-01,21.3949350243838
1991-01-01,20.8624858013913
1991-02-01,20.465766621407898
1991-03-01,20.311081240596103
1991-04-01,20.1213564255696
1991-05-01,20.2481749558573
1991-06-01,20.0733464413227
1991-07-01,19.963730529209002
1991-08-01,20.0147786001527
1991-09-01,20.107845808823303
1991-10-01,19.9449987684673
1991-11-01,19.914985317122397
1991-12-01,19.6958965430003
1992-01-01,21.1535743196588
1992-02-01,21.643105339757103
1992-03-01,21.9167439394089
1992-04-01,18.5843319142762
1992-05-01,19.9336064870878
1992-06-01,20.011307964715396
1992-07-01,19.9663631882451
1992-08-01,19.8156923188022
1992-09-01,19.836402782995602
1992-10-01,19.8644423907517
1992-11-01,19.7062093428134
1992-12-01,19.7000754026217
1993-01-01,21.651220670090698
1993-02-01,21.517395695735196
1993-03-01,21.3132405014318
1993-04-01,21.3455793177515
1993-05-01,21.4240963517191
1993-06-01,21.4450684459527
1993-07-01,21.7627909982161
1993-08-01,21.7062981856098
1993-09-01,21.659865351695103
1993-10-01,21.6850340542174
1993-11-01,21.9227507370844
1993-12-01,22.015201969939397
1994-01-01,21.626188940980395
1994-02-01,21.698321528754896
1994-03-01,21.8208475022796
1994-04-01,21.3224627013883
1994-05-01,20.409402755606898
1994-06-01,20.2661348865428
1994-07-01,19.950633948244604
1994-08-01,19.868254857171
1994-09-01,19.970771435867
1994-10-01,20.224088506141698
1994-11-01,20.557606918136898
1994-12-01,20.5381892687153
1995-01-01,20.906371402604197
1995-02-01,21.087257297553503
1995-03-01,21.4182594358379
1995-04-01,21.913022712563
1995-05-01,22.1001714840727
1995-06-01,22.352757984962896
1995-07-01,22.445408820879898
1995-08-01,22.630464198549298
1995-09-01,22.560177463008
1995-10-01,22.6551399825573
1995-11-01,22.4979156305067
1995-12-01,23.085489042111803
1996-01-01,22.3777468664195
1996-02-01,22.3945266061062
1996-03-01,22.5290057585187
1996-04-01,22.517103130844497
1996-05-01,22.790418877249103
1996-06-01,22.9085762165821
1996-07-01,23.3376763116701
1996-08-01,23.483741638470303
1996-09-01,23.634351445286605
1996-10-01,23.591363007916303
1996-11-01,23.524894545183397
1996-12-01,23.530931594651697
1997-01-01,23.9862726061877
1997-02-01,24.0199573248243
1997-03-01,24.4259282077125
1997-04-01,23.8196338365475
1997-05-01,23.9892551516291
1997-06-01,24.044805726742897
1997-07-01,24.130153300133
1997-08-01,24.3685997743754
1997-09-01,24.3914974020221
1997-10-01,24.4126770969022
1997-11-01,24.7292839312249
1997-12-01,25.168434037890396
1998-01-01,25.712408952371103
1998-02-01,25.856670432752498
1998-03-01,26.1438938353023
1998-04-01,26.713190326974804
1998-05-01,26.4856081640628
1998-06-01,26.582408659637398
1998-07-01,26.030292906303803
1998-08-01,26.7577808146217
1998-09-01,26.6488996135352
1998-10-01,27.4347659729683
1998-11-01,27.806551848372198
1998-12-01,27.7633375801717
1999-01-01,28.170275624292803
1999-02-01,28.5077582631861
1999-03-01,28.6620498857009
1999-04-01,28.9955158085046
1999-05-01,29.275856546192898
1999-06-01,29.7419802124757
1999-07-01,30.053022403079602
1999-08-01,30.172237239120303
1999-09-01,30.1168016486595
1999-10-01,30.1176932539643
1999-11-01,30.244200523394
1999-12-01,30.2347803479629
2000-01-01,30.0324954845637
2000-02-01,29.972795581691898
2000-03-01,30.001651358602
2000-04-01,29.8814921881842
2000-05-01,29.6682204228374
2000-06-01,29.718378108094
2000-07-01,29.484227220261804
2000-08-01,29.2731683513617
2000-09-01,29.3996592247343
2000-10-01,29.1829532347063
2000-11-01,29.0737563010716
2000-12-01,28.973336574060998
2001-01-01,31.7028689654423
2001-02-01,31.6363654490657
2001-03-01,31.546448472902398
2001-04-01,31.570440608598698
2001-05-01,31.462753024310697
2001-06-01,31.528903190729103
2001-07-01,30.6158948525207
2001-08-01,30.667807730731802
2001-09-01,30.391615563017996
2001-10-01,29.8250751655228
2001-11-01,29.5116641499787
2001-12-01,29.3175836474765
2002-01-01,29.056551144657604
2002-02-01,28.874117764871897
2002-03-01,28.803246781855602
2002-04-01,28.5642861895398
2002-05-01,28.5577305851377
2002-06-01,28.3450219650185
2002-07-01,28.3517246934374
2002-08-01,28.3473786402379
2002-09-01,28.2934145022868
2002-10-01,28.5861222557192
2002-11-01,28.5680285938612
2002-12-01,28.478582612351303
2003-01-01,28.1815963040202
2003-02-01,27.782882986500603
2003-03-01,27.7402165413344
2003-04-01,27.261330822412
2003-05-01,27.454703647181695
2003-06-01,27.4681044894663
2003-07-01,26.879873627514
2003-08-01,27.135615574826303
2003-09-01,27.4254038733015
2003-10-01,27.055240512218102
2003-11-01,27.0324036231344
2003-12-01,26.9579649784605
2004-01-01,26.7814526273946
2004-02-01,26.873039752303
2004-03-01,26.6504684606699
2004-04-01,26.863512239594897
2004-05-01,26.259813813797603
2004-06-01,26.5711390813716
2004-07-01,26.790457353658105
2004-08-01,27.136843869882004
2004-09-01,27.284330236287104
2004-10-01,26.957380727512998
2004-11-01,26.813558400966002
2004-12-01,26.8414832176018
2005-01-01,26.8574088791651
2005-02-01,27.1477813548519
2005-03-01,27.1324472683704
2005-04-01,27.3632816654794
2005-05-01,27.361141908903303
2005-06-01,27.4694171862167
