DATE,SMU26114606054000001SA
1990-01-01,11.830470818635499
1990-02-01,11.963995304417901
1990-03-01,12.000369798329599
1990-04-01,12.2683330287394
1990-05-01,12.259211919740698
1990-06-01,12.4895246709867
1990-07-01,12.360512104818401
1990-08-01,12.556501781510901
1990-09-01,12.4438796540084
1990-10-01,12.241436854540698
1990-11-01,12.2240260921555
1990-12-01,12.760025851263899
1991-01-01,11.934954773475098
1991-02-01,11.8599476785215
1991-03-01,12.0012246830174
1991-04-01,11.876471488671902
1991-05-01,11.9512043839075
1991-06-01,11.8882962754354
1991-07-01,11.949144355845199
1991-08-01,11.860901279646402
1991-09-01,11.959541706122101
1991-10-01,11.9375483130937
1991-11-01,11.8215248698473
1991-12-01,11.850194778464902
1992-01-01,12.0518739107491
1992-02-01,12.560061625292
1992-03-01,12.0041806110088
1992-04-01,11.484887746333301
1992-05-01,10.927703178420698
1992-06-01,11.3828311478659
1992-07-01,11.4287150941909
1992-08-01,10.864867755681601
1992-09-01,10.789097379660499
1992-10-01,11.328840699950302
1992-11-01,11.7341031939534
1992-12-01,11.3372124932877
1993-01-01,11.676634746321199
1993-02-01,11.665062429349199
1993-03-01,11.6180424954459
1993-04-01,11.4767078747824
1993-05-01,11.491036999803901
1993-06-01,11.568024907907699
1993-07-01,11.6042895214905
1993-08-01,11.6604507481036
1993-09-01,11.6279111843312
1993-10-01,11.626077591973901
1993-11-01,11.7607217509024
1993-12-01,11.8326554842676
1994-01-01,11.602576182172502
1994-02-01,11.574431741913
1994-03-01,11.527812594539
1994-04-01,11.459947899768801
1994-05-01,11.546321642481699
1994-06-01,11.542773307672
1994-07-01,11.783244213609299
1994-08-01,11.5477351344396
1994-09-01,11.660224541456198
1994-10-01,11.8395131447281
1994-11-01,11.903722896747901
1994-12-01,11.940668310995
1995-01-01,11.721139291645502
1995-02-01,11.6786895891769
1995-03-01,11.934779409475
1995-04-01,12.1325881480683
1995-05-01,12.2065126092529
1995-06-01,12.308090327398
1995-07-01,12.2629424638921
1995-08-01,12.4430227886461
1995-09-01,12.3870485343592
1995-10-01,12.456184652929599
1995-11-01,12.350241357836099
1995-12-01,12.661010186152199
1996-01-01,12.633778257771
1996-02-01,12.7779194754248
1996-03-01,12.9316932929074
1996-04-01,13.100384398712
1996-05-01,13.172674119790099
1996-06-01,13.167603910926198
1996-07-01,13.2563849458889
1996-08-01,13.354608453276999
1996-09-01,13.305810721637402
1996-10-01,13.371527110248401
1996-11-01,13.3977898976595
1996-12-01,13.387217619033699
1997-01-01,13.729466370789302
1997-02-01,13.5621229339292
1997-03-01,13.7206836059954
1997-04-01,13.7684520678466
1997-05-01,13.8484845127154
1997-06-01,13.8419092179321
1997-07-01,13.961401708681901
1997-08-01,14.084155098269001
1997-09-01,14.2225367492916
1997-10-01,14.083781008511501
1997-11-01,14.220003817168601
1997-12-01,14.2137154074523
1998-01-01,14.5132640829877
1998-02-01,14.632446726281199
1998-03-01,14.9054102754076
1998-04-01,14.546039437718802
1998-05-01,14.6378492696836
1998-06-01,14.830231628376698
1998-07-01,14.985325466945
1998-08-01,14.916729984795401
1998-09-01,14.837023347458999
1998-10-01,15.195233758221901
1998-11-01,15.2144856902909
1998-12-01,15.3188948149498
1999-01-01,15.099210434529901
1999-02-01,15.4982486658876
1999-03-01,15.5884998936626
1999-04-01,15.8389162993345
1999-05-01,15.9459479980546
1999-06-01,16.141920609100698
1999-07-01,16.1066707401737
1999-08-01,16.1459932420549
1999-09-01,16.154099566687602
1999-10-01,16.586663275624403
1999-11-01,16.6830131978562
1999-12-01,16.8014040061921
2000-01-01,16.8920845213374
2000-02-01,16.985912089454597
2000-03-01,17.0872056991031
2000-04-01,17.1343668214497
2000-05-01,17.2682395950147
2000-06-01,17.2631390881995
2000-07-01,17.3304389268011
2000-08-01,17.4545993146936
2000-09-01,17.5651064086658
2000-10-01,17.3655673937057
2000-11-01,17.4380156001388
2000-12-01,17.3650846990994
2001-01-01,17.3920760949702
2001-02-01,17.5033970754934
2001-03-01,17.398724300317
2001-04-01,17.337446067971403
2001-05-01,17.2996307479846
2001-06-01,17.1966908115662
2001-07-01,16.845183369021303
2001-08-01,16.9341567589885
2001-09-01,16.7594092028389
2001-10-01,16.7388830192847
2001-11-01,16.6901419808445
2001-12-01,16.7281017444057
2002-01-01,16.6927235988172
2002-02-01,16.7496743001792
2002-03-01,16.727290349240402
2002-04-01,16.6442889884003
2002-05-01,16.4331076412576
2002-06-01,16.4234570223798
2002-07-01,16.543698776057997
2002-08-01,16.5021108834014
2002-09-01,16.443529170384
2002-10-01,16.5115559051338
2002-11-01,16.4444392234087
2002-12-01,16.3977186020458
2003-01-01,15.301243336557802
2003-02-01,15.106978343880698
2003-03-01,15.061751584203698
2003-04-01,14.7537873263203
2003-05-01,14.868837595093801
2003-06-01,14.8424451575909
2003-07-01,14.8170370439833
2003-08-01,14.766830981043999
2003-09-01,14.9271829364956
2003-10-01,14.6828460926474
2003-11-01,14.715454507925198
2003-12-01,14.779141338562301
2004-01-01,14.5157989105391
2004-02-01,14.459803372668901
2004-03-01,14.501886779049402
2004-04-01,14.5579660698751
2004-05-01,14.5960708130211
2004-06-01,14.639648624959301
2004-07-01,14.5767124331722
2004-08-01,14.7415817662869
2004-09-01,14.722579996439302
2004-10-01,14.6676644476841
2004-11-01,14.598020790132301
2004-12-01,14.666594337409501
2005-01-01,14.638734820696001
2005-02-01,14.592671417167999
2005-03-01,14.5337055682516
2005-04-01,14.663688807420302
2005-05-01,14.7032520692271
2005-06-01,14.727919019305999
