DATE,ANNA426LEIH
1990-01-01,14.470897166264301
1990-02-01,14.732750804345802
1990-03-01,14.614144729886998
1990-04-01,14.579738131068401
1990-05-01,14.746087293746
1990-06-01,14.603699746261698
1990-07-01,13.8939945863429
1990-08-01,14.369809485707801
1990-09-01,14.162969464768802
1990-10-01,13.968602337007999
1990-11-01,13.9529835799036
1990-12-01,13.7128928740066
1991-01-01,13.751483875413001
1991-02-01,13.551815153050402
1991-03-01,13.6361630354229
1991-04-01,13.232532942086001
1991-05-01,13.478556496518099
1991-06-01,13.392365050453598
1991-07-01,13.1664032396029
1991-08-01,13.3549861284567
1991-09-01,13.590189353557
1991-10-01,13.552125028703301
1991-11-01,13.601522589902501
1991-12-01,13.609464879688199
1992-01-01,13.6574553348273
1992-02-01,13.5614576813351
1992-03-01,13.574879992764
1992-04-01,13.4640226046304
1992-05-01,13.2910990957394
1992-06-01,13.0572327277684
1992-07-01,13.3176673091774
1992-08-01,13.329994499008501
1992-09-01,13.1274529774752
1992-10-01,13.8499516896736
1992-11-01,13.7809179638786
1992-12-01,13.8319785165459
1993-01-01,13.592809825285899
1993-02-01,13.4660519591856
1993-03-01,13.223966539665199
1993-04-01,13.276484495393401
1993-05-01,13.0372310030175
1993-06-01,13.001524220747699
1993-07-01,13.0480233511887
1993-08-01,13.0213991716276
1993-09-01,12.9625674802066
1993-10-01,13.2845418538877
1993-11-01,13.081208602623
1993-12-01,13.1972581467436
1994-01-01,13.2617847554951
1994-02-01,13.7394063095104
1994-03-01,13.233588724158
1994-04-01,13.5037463908672
1994-05-01,13.612347526762301
1994-06-01,13.623982510265
1994-07-01,13.608120619846899
1994-08-01,13.637277187258801
1994-09-01,13.8093234110836
1994-10-01,13.6600677222995
1994-11-01,13.6649514526921
1994-12-01,13.5720042951076
1995-01-01,13.1977718731532
1995-02-01,13.5183255601424
1995-03-01,13.5079605931251
1995-04-01,13.523930168649098
1995-05-01,13.5797194737795
1995-06-01,13.5652607503533
1995-07-01,13.5907480487777
1995-08-01,13.4725089373261
1995-09-01,13.5861979686613
1995-10-01,13.2402599943275
1995-11-01,12.938595649916198
1995-12-01,13.3394093595997
1996-01-01,13.2855059284567
1996-02-01,13.4823905924984
1996-03-01,13.442832012353499
1996-04-01,13.5426209898421
1996-05-01,13.5880019786546
1996-06-01,13.6264640489326
1996-07-01,13.623508050015399
1996-08-01,13.7312897632566
1996-09-01,13.7679497994876
1996-10-01,13.978921250641001
1996-11-01,14.000227334180801
1996-12-01,14.0812604665609
1997-01-01,14.0146263518579
1997-02-01,13.961415478287302
1997-03-01,13.989989955478801
1997-04-01,13.864390590764899
1997-05-01,13.857490566927801
1997-06-01,13.6080353703883
1997-07-01,13.755998366966601
1997-08-01,13.791238598816099
1997-09-01,13.7226223044906
1997-10-01,13.690177943494401
1997-11-01,13.7555534346178
1997-12-01,13.6083470871878
1998-01-01,13.840692758122099
1998-02-01,13.737548593489
1998-03-01,13.7561901869684
1998-04-01,13.6909184472818
1998-05-01,13.686057214130699
1998-06-01,13.5947040082048
1998-07-01,13.294241378586
1998-08-01,13.348172659814802
1998-09-01,13.332120335363
1998-10-01,13.2639286853918
1998-11-01,13.1861665566031
1998-12-01,13.210889608260901
1999-01-01,13.2887759303987
1999-02-01,13.441878496347899
1999-03-01,13.253058775818
1999-04-01,13.3472964435514
1999-05-01,13.3517613319206
1999-06-01,13.3896995133092
1999-07-01,13.310997647024902
1999-08-01,13.242234256054301
1999-09-01,13.015402005134598
1999-10-01,13.3419458846102
1999-11-01,13.2820815344239
1999-12-01,13.4197199389306
2000-01-01,13.2826732895626
2000-02-01,13.3652843764613
2000-03-01,13.3597691260355
2000-04-01,13.418946389901302
2000-05-01,13.308124208843301
2000-06-01,13.4042943590802
2000-07-01,13.5234411021831
2000-08-01,13.588641414611402
2000-09-01,13.3946024627029
2000-10-01,13.9982323358833
2000-11-01,13.858338966152502
2000-12-01,13.843797274398801
2001-01-01,13.8897882652409
2001-02-01,13.819712899246301
2001-03-01,13.893770038896301
2001-04-01,13.6376869418011
2001-05-01,13.8102560596541
2001-06-01,13.9070267298214
2001-07-01,13.92356317578
2001-08-01,14.000434226503598
2001-09-01,13.967017289743099
2001-10-01,13.8644275061217
2001-11-01,14.0366008934553
2001-12-01,13.986977276713901
2002-01-01,14.4277100816719
2002-02-01,14.2807975219114
2002-03-01,14.355637811722099
2002-04-01,13.652034973794699
2002-05-01,13.5448716397946
2002-06-01,13.3847024406409
2002-07-01,13.321588345249099
2002-08-01,13.244592356654302
2002-09-01,13.1419826034775
2002-10-01,13.2244381949348
2002-11-01,13.046044318046
2002-12-01,13.1082852439015
2003-01-01,13.0737367266051
2003-02-01,13.040428218833402
2003-03-01,13.049169144980599
2003-04-01,13.0768383044256
2003-05-01,13.2527862952987
2003-06-01,13.4186518076781
2003-07-01,13.8974056051514
2003-08-01,13.8005598077059
2003-09-01,13.9182488380465
2003-10-01,14.026562079686801
2003-11-01,14.180567221231401
2003-12-01,14.123775355511198
2004-01-01,14.137953862125098
2004-02-01,14.1949181716309
2004-03-01,14.0183122954736
2004-04-01,14.259761866089699
2004-05-01,14.357536299079099
2004-06-01,14.3428598923353
2004-07-01,14.276895948782899
2004-08-01,14.275928535401402
2004-09-01,14.406353817859001
2004-10-01,14.150791535477
2004-11-01,14.4483893297376
2004-12-01,14.529692805683698
2005-01-01,14.564121961291198
2005-02-01,14.630135006565098
2005-03-01,14.5577789135811
2005-04-01,14.6601842903338
2005-05-01,14.611605128134698
2005-06-01,14.7746611435745
