DATE,ANNA426EDUH
1990-01-01,16.2437721859204
1990-02-01,16.4593001326326
1990-03-01,17.3466736938896
1990-04-01,16.254298918378
1990-05-01,16.150413156029
1990-06-01,16.747448572083
1990-07-01,16.077442086454198
1990-08-01,16.2624053313772
1990-09-01,16.9123154200464
1990-10-01,16.6259721849562
1990-11-01,16.6909112058009
1990-12-01,17.5149702735832
1991-01-01,16.4580382703611
1991-02-01,16.3827889042079
1991-03-01,16.4641513616314
1991-04-01,16.0343823976333
1991-05-01,16.1313521137113
1991-06-01,16.0368472902009
1991-07-01,15.062119358033302
1991-08-01,15.259305551021098
1991-09-01,15.2068662651543
1991-10-01,15.145439010520198
1991-11-01,15.095973552572401
1991-12-01,15.107808414774599
1992-01-01,15.2763250974134
1992-02-01,15.2281320728034
1992-03-01,15.191175364924
1992-04-01,15.297554131479199
1992-05-01,15.1955806065548
1992-06-01,15.1147512668399
1992-07-01,15.2385617927645
1992-08-01,15.0518680520914
1992-09-01,15.099190858062999
1992-10-01,15.2854359736161
1992-11-01,15.2155421644265
1992-12-01,15.3007593689607
1993-01-01,15.397621621057999
1993-02-01,15.2719377333796
1993-03-01,14.9277042442225
1993-04-01,15.341067996553399
1993-05-01,15.2497468502891
1993-06-01,15.2813873202393
1993-07-01,15.3198435708949
1993-08-01,15.464298124259601
1993-09-01,15.306851465801401
1993-10-01,15.725422976759601
1993-11-01,15.322750629811802
1993-12-01,15.175970432114301
1994-01-01,15.216997265471699
1994-02-01,15.4140350145896
1994-03-01,15.2597588050929
1994-04-01,15.7972186863727
1994-05-01,16.0127804739591
1994-06-01,16.0420084876021
1994-07-01,16.2285662693761
1994-08-01,16.060955714258803
1994-09-01,16.2113255911486
1994-10-01,15.967137379642999
1994-11-01,16.1211261399592
1994-12-01,16.256406778843697
1995-01-01,15.7403001183396
1995-02-01,16.033030109331698
1995-03-01,15.978547916454401
1995-04-01,15.8612899607806
1995-05-01,15.783082076918399
1995-06-01,15.810418286594802
1995-07-01,15.855643813078402
1995-08-01,15.772936146427698
1995-09-01,15.824883820367598
1995-10-01,15.6975116371898
1995-11-01,15.6070363305233
1995-12-01,15.940733029579999
1996-01-01,16.1395517378458
1996-02-01,16.2267603995166
1996-03-01,16.2652555285958
1996-04-01,16.4567540438565
1996-05-01,16.4746876624009
1996-06-01,16.5004816536483
1996-07-01,16.2930281857105
1996-08-01,16.380855274196502
1996-09-01,16.3374221779595
1996-10-01,16.6100609704081
1996-11-01,16.6088087161053
1996-12-01,16.6601502497708
1997-01-01,16.208736528639
1997-02-01,16.0893107641095
1997-03-01,16.0325234540445
1997-04-01,15.947371478661001
1997-05-01,15.9790936580432
1997-06-01,16.019283905299
1997-07-01,15.7173383868911
1997-08-01,16.003303906561197
1997-09-01,15.9701187964044
1997-10-01,15.7033468771451
1997-11-01,15.7159286973802
1997-12-01,15.6927367304211
1998-01-01,15.455592843485801
1998-02-01,15.4386692176754
1998-03-01,15.4898174030463
1998-04-01,15.6437772633198
1998-05-01,15.70241498385
1998-06-01,15.758671826775801
1998-07-01,15.8106124951352
1998-08-01,16.312356718278902
1998-09-01,16.1051671313802
1998-10-01,16.1881611178358
1998-11-01,16.3426103599251
1998-12-01,16.2374621157837
1999-01-01,16.6164838151379
1999-02-01,16.6923315803115
1999-03-01,16.7560053911361
1999-04-01,16.6168334408856
1999-05-01,16.711517539040802
1999-06-01,16.7034504222872
1999-07-01,16.9852209758476
1999-08-01,16.7205179907275
1999-09-01,16.5423322602861
1999-10-01,17.1833257104024
1999-11-01,17.1800089644054
1999-12-01,17.2685797899812
2000-01-01,17.5830320558041
2000-02-01,17.7510093647265
2000-03-01,17.837365998211897
2000-04-01,17.7863225722216
2000-05-01,17.817203427282102
2000-06-01,17.9446938642859
2000-07-01,18.1555306118921
2000-08-01,18.2307197751918
2000-09-01,18.368177625296102
2000-10-01,18.368944022740198
2000-11-01,18.6135428804945
2000-12-01,18.4837695488056
2001-01-01,18.976733258871697
2001-02-01,19.025800073530398
2001-03-01,19.1401811054873
2001-04-01,19.249982496246897
2001-05-01,19.3098419382865
2001-06-01,19.472015310238604
2001-07-01,19.748700367197603
2001-08-01,19.746370460435397
2001-09-01,19.6780050633808
2001-10-01,19.950023906024303
2001-11-01,19.9224633447867
2001-12-01,20.0622033231408
2002-01-01,19.99528817097
2002-02-01,20.3268612043078
2002-03-01,20.5624094121734
2002-04-01,20.9212767251195
2002-05-01,21.096743977611197
2002-06-01,21.1872398165783
2002-07-01,21.262383070166198
2002-08-01,21.473825062864
2002-09-01,21.4611112136967
2002-10-01,21.4158046439478
2002-11-01,21.6128453556641
2002-12-01,21.822109515324602
2003-01-01,22.042724739577103
2003-02-01,22.049083685605396
2003-03-01,21.9862061081322
2003-04-01,22.097698172311002
2003-05-01,22.0675380060879
2003-06-01,22.0934270911393
2003-07-01,22.102204514706898
2003-08-01,22.2123639703538
2003-09-01,22.2205363806391
2003-10-01,22.296269900097197
2003-11-01,22.4019061527175
2003-12-01,22.270954487612098
2004-01-01,22.2759959762741
2004-02-01,22.374573771414
2004-03-01,22.394854502355198
2004-04-01,22.388994037595896
2004-05-01,22.538108061955498
2004-06-01,22.683350081767202
2004-07-01,22.859893986515196
2004-08-01,22.8700614734049
2004-09-01,22.9866683705687
2004-10-01,23.0698642275486
2004-11-01,23.2878116042605
2004-12-01,23.131718174649
2005-01-01,22.999788069780397
2005-02-01,22.9920580550872
2005-03-01,22.9810194659711
2005-04-01,23.0923892968436
2005-05-01,23.014058786303302
2005-06-01,22.961983097923497
