DATE,SMU26114607072000001SA
1990-01-01,11.829434380525699
1990-02-01,11.751685845030599
1990-03-01,11.726589495201399
1990-04-01,11.387028161590099
1990-05-01,11.542502919742
1990-06-01,11.4535106888028
1990-07-01,11.293833888672
1990-08-01,11.2655968735201
1990-09-01,11.114301964767401
1990-10-01,11.1136813295631
1990-11-01,11.163907931833402
1990-12-01,11.4483276690203
1991-01-01,11.139116402857402
1991-02-01,11.149763415468
1991-03-01,11.1531391753673
1991-04-01,11.066546750710199
1991-05-01,11.145559437906801
1991-06-01,11.1651757325704
1991-07-01,11.171802686640302
1991-08-01,11.152870803313501
1991-09-01,11.499694089653199
1991-10-01,11.3169833832763
1991-11-01,11.2871842344081
1991-12-01,11.359081092618
1992-01-01,11.3497772339299
1992-02-01,11.3394862725387
1992-03-01,11.387530837044599
1992-04-01,11.3340486693618
1992-05-01,11.341075068527902
1992-06-01,11.089630073278402
1992-07-01,11.3227627678203
1992-08-01,11.318915216086399
1992-09-01,11.2844978310675
1992-10-01,11.8435928100845
1992-11-01,11.8283676996211
1992-12-01,11.7067425220139
1993-01-01,11.568965888078802
1993-02-01,11.5164205723405
1993-03-01,11.4172181364518
1993-04-01,11.580868135023401
1993-05-01,11.3998297244431
1993-06-01,11.3913873999134
1993-07-01,11.371708789130098
1993-08-01,11.401239662667699
1993-09-01,11.372299252424
1993-10-01,11.595717160748501
1993-11-01,11.421288082607601
1993-12-01,11.475625810469198
1994-01-01,12.1877543241338
1994-02-01,12.066870931514599
1994-03-01,11.690427679305902
1994-04-01,11.740554052981699
1994-05-01,11.5235090408116
1994-06-01,11.567279852545399
1994-07-01,11.736517778713901
1994-08-01,11.7075721858144
1994-09-01,11.8809983116165
1994-10-01,11.572252406767099
1994-11-01,11.6295180177257
1994-12-01,11.460273699307498
1995-01-01,11.199663409761401
1995-02-01,11.515573501094401
1995-03-01,11.5268902869636
1995-04-01,11.5699522915907
1995-05-01,11.624227821942899
1995-06-01,11.614667560303
1995-07-01,11.4436194881239
1995-08-01,11.3530842700295
1995-09-01,11.4148019578333
1995-10-01,11.250924475901401
1995-11-01,11.152968159045
1995-12-01,11.216983587597198
1996-01-01,11.086921445461302
1996-02-01,11.2648726477834
1996-03-01,11.2445118503968
1996-04-01,11.1826626877519
1996-05-01,11.2482773590257
1996-06-01,11.276039699445901
1996-07-01,11.252643592313301
1996-08-01,11.307642022142801
1996-09-01,11.388807155871199
1996-10-01,11.5157929498405
1996-11-01,11.5379993935345
1996-12-01,11.6641025751317
1997-01-01,11.737220966931698
1997-02-01,11.639174411874
1997-03-01,11.7051768095055
1997-04-01,11.558649667768199
1997-05-01,11.4902122108554
1997-06-01,11.354862147855599
1997-07-01,11.4782686869294
1997-08-01,11.5558157356313
1997-09-01,11.4782589550841
1997-10-01,11.3576694675775
1997-11-01,11.4705211698374
1997-12-01,11.3829444647244
1998-01-01,11.393922558431
1998-02-01,11.3225247211931
1998-03-01,11.295378232656699
1998-04-01,11.263070401401901
1998-05-01,11.166332523543902
1998-06-01,11.1351547012255
1998-07-01,11.1014409671603
1998-08-01,10.8072715260391
1998-09-01,10.761824031852601
1998-10-01,10.6638002819574
1998-11-01,10.546394606633099
1998-12-01,10.5850800594743
1999-01-01,10.6490485932283
1999-02-01,10.71562490258
1999-03-01,10.5979216732557
1999-04-01,10.8265276929394
1999-05-01,10.7764691853284
1999-06-01,10.837480790074
1999-07-01,10.450914637838599
1999-08-01,10.41786145649
1999-09-01,10.301631118075802
1999-10-01,10.950111327870701
1999-11-01,10.883007288189699
1999-12-01,10.8742546340234
2000-01-01,10.723262733232401
2000-02-01,10.7087511795367
2000-03-01,10.774049276614802
2000-04-01,11.0556984515967
2000-05-01,10.8375582254719
2000-06-01,10.961704906397099
2000-07-01,10.989533116675801
2000-08-01,11.0157199997275
2000-09-01,11.0926941548754
2000-10-01,11.5199625748593
2000-11-01,11.3226263736048
2000-12-01,11.2695019244995
2001-01-01,11.2793321237811
2001-02-01,11.204221821470899
2001-03-01,11.2454447756895
2001-04-01,11.1161662040792
2001-05-01,11.2029939549983
2001-06-01,11.3192472458188
2001-07-01,11.4188529897194
2001-08-01,11.5895960961
2001-09-01,11.844288675119099
2001-10-01,11.5933187490905
2001-11-01,11.6862933302016
2001-12-01,11.675291380141001
2002-01-01,12.1588111571509
2002-02-01,12.1011129151137
2002-03-01,12.137866336324699
2002-04-01,11.350708439034
2002-05-01,11.3243922489218
2002-06-01,11.3450560392455
2002-07-01,11.440337845016902
2002-08-01,11.503150800146802
2002-09-01,11.599278428566198
2002-10-01,11.676095307462099
2002-11-01,11.688035548373401
2002-12-01,11.7642227703864
2003-01-01,11.142614217179899
2003-02-01,11.113770552727098
2003-03-01,11.2599689367599
2003-04-01,11.263671021179901
2003-05-01,11.1918579219662
2003-06-01,11.3343156810372
2003-07-01,11.648592660696002
2003-08-01,11.7205006518767
2003-09-01,11.8752286298507
2003-10-01,11.9809809466805
2003-11-01,12.1211284167657
2003-12-01,12.063852645128401
2004-01-01,12.0480641114411
2004-02-01,12.123972727460801
2004-03-01,12.089770898856198
2004-04-01,12.1413755945766
2004-05-01,12.2274219779038
2004-06-01,12.289693526654698
2004-07-01,12.1646828907529
2004-08-01,12.2292876139275
2004-09-01,12.2826675476036
2004-10-01,12.2981216477301
2004-11-01,12.377626688336301
2004-12-01,12.5687555655973
2005-01-01,12.5296003629354
2005-02-01,12.539563442845399
2005-03-01,12.5000419158329
2005-04-01,12.5204646521697
2005-05-01,12.4948319879693
2005-06-01,12.6769784084569
